iter	Logloss
0	0.6381596904
1	0.595750693
2	0.5621553126
3	0.5380676252
4	0.5148347619
5	0.4949166646666	0.483020899777	0.474123872888	0.4666742935
9	0.460421391
10	0.4529353843
11	0.4432092403
12	0.4384212326
13	0.4332394261
14	0.4282403821
15	0.4249647051
16	0.4185233281
17	0.4119948749
18	0.4073343927
19	0.4038024679
20	0.4007839499
21	0.3967364954
22	0.3942426953
23	0.3917465341
24	0.3891864293
25	0.386585914
26	0.3853646405
27	0.3832678723
28	0.3814482069
29	0.371185355
330	0.375818837931	0.3685936232
32	0.3662018679
33	0.3645438291
34	0.3614759519
35	0.3590411036
36	0.3579752257
37	0.3568569882
38	0.3555777645
39	0.3534857929
40	0.352024348
41	0.3511082813
42	0.3490896572
43	0.3474746897
44	0.3447975015
45	0.3427235885
46	0.34169663
47	0.3389668067
48	0.3378271918
49	0.3365924784
9

3
