iter	Passed	Remaining
0	22	1099
1	49	1178
2	78	1231
3	99	1147
4	116	104955	132	968666	163	1077	7	183	968	8	205	935
9	227	908
10	248	882
11	267	847
12	288	821
13	306	787
14	326	761
15	345	735
16	362	703
17	382	680
18	400	652
19	418	627
20	436	603
21	455	579
22	471	553
23	486	526
24	502	502
25	521	481
26	539	427	27	557	428	28	574	429	595	396
30	30	609	331	626	352
32	644	332
33	665	313
34	687	294
35	707	274
36	739	259
37	766	242
38	795	224
39	819	204
40	845	185
41	862	164
42	878	143
43	896	122
44	910	101
45	924	80
46	932	59
47	940	39
48	946	19
49	955	0
0
	21
49	1055	0
